filename	task	run	session	size_bytes	acq_time	notes
eeg/sub-10520_task-ASSR_run-01_eeg.bdf	ASSR	01	n/a	79517696	n/a	n/a
eeg/sub-10520_task-AVSRT_run-01_eeg.bdf	AVSRT	01	n/a	25023488	n/a	n/a
eeg/sub-10520_task-AVSRT_run-02_eeg.bdf	AVSRT	02	n/a	25359872	n/a	n/a
eeg/sub-10520_task-AVSRT_run-03_eeg.bdf	AVSRT	03	n/a	25247744	n/a	n/a
eeg/sub-10520_task-Beepflash_run-01_eeg.bdf	Beepflash	01	n/a	70098944	n/a	n/a
eeg/sub-10520_task-FAST_run-01_eeg.bdf	FAST	01	n/a	102503936	n/a	n/a
eeg/sub-10520_task-IC_run-01_eeg.bdf	IC	01	n/a	99252224	n/a	n/a
eeg/sub-10520_task-motor_run-01_eeg.vhdr	motor	01	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-02_eeg.vhdr	motor	02	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-03_eeg.vhdr	motor	03	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-04_eeg.vhdr	motor	04	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-05_eeg.vhdr	motor	05	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-06_eeg.vhdr	motor	06	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-07_eeg.vhdr	motor	07	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-08_eeg.vhdr	motor	08	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-09_eeg.vhdr	motor	09	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-10_eeg.vhdr	motor	10	n/a	1915	n/a	n/a
eeg/sub-10520_task-motor_run-11_eeg.vhdr	motor	11	n/a	1915	n/a	n/a
eeg/sub-10520_task-Restingstate_run-01_eeg.bdf	Restingstate	01	n/a	17062400	n/a	n/a
eeg/sub-10520_task-Restingstate_run-02_eeg.bdf	Restingstate	02	n/a	17174528	n/a	n/a
eeg/sub-10520_task-Restingstate_run-03_eeg.bdf	Restingstate	03	n/a	17062400	n/a	n/a
